size,young_memcpy_GBps,young_to_old_memcpy_GBps,nt128_GBps,nt256_GBps,nt128_sfence_each_GBps,young_memcpy_ns,young_to_old_memcpy_ns,nt128_ns,nt256_ns,nt128_sfence_each_ns,checksum
   16,   16.797,   13.126,    0.078,    9.287,    0.078,     0.89,     1.14,   191.85,     1.60,   191.84,14688452608
   32,   31.361,   15.919,    0.155,    0.152,    0.152,     0.95,     1.87,   192.73,   195.78,   196.04,7344226304
   64,   48.273,   18.404,    0.309,    0.313,    0.315,     1.23,     3.24,   192.73,   190.29,   189.22,3672113152
   96,   35.207,   13.943,    0.481,    0.484,    0.500,     2.54,     6.41,   185.77,   184.71,   178.96,2448074783
  128,   43.238,   16.801,    0.646,    0.647,    0.624,     2.76,     7.10,   184.42,   184.30,   191.11,1836056576
  192,   32.373,   17.229,    0.972,    0.972,    0.948,     5.52,    10.38,   183.95,   183.95,   188.60,2376072434
  256,   56.615,   20.019,    1.298,    1.301,    1.265,     4.21,    11.91,   183.67,   183.33,   188.50,1782054912
  512,   60.037,   20.804,    2.593,    2.599,    2.535,     7.94,    22.92,   183.92,   183.45,   188.13,891027456
 1024,   68.050,   21.412,    5.144,    5.154,    5.125,    14.01,    44.54,   185.40,   185.03,   186.07,445513728
 2048,   72.893,   20.509,   10.207,   10.214,    9.981,    26.17,    93.00,   186.87,   186.73,   191.11,222756864
 4096,   79.147,   14.803,   19.417,   20.436,   19.273,    48.20,   257.69,   196.46,   186.67,   197.93,111378432
 8192,   83.463,   16.252,   34.417,   35.737,   33.831,    91.41,   469.43,   221.67,   213.49,   225.52,55689216
16384,   86.518,   17.832,   48.790,   54.075,   47.251,   176.37,   855.68,   312.74,   282.18,   322.93,27844608
pollution,64,base_ms=0.751,after_young_memcpy_ms=0.751,after_old_memcpy_ms=0.751,after_nt_ms=0.750,checksum=864026624
pollution,256,base_ms=0.750,after_young_memcpy_ms=0.751,after_old_memcpy_ms=0.752,after_nt_ms=0.751,checksum=864026624
pollution,4096,base_ms=0.751,after_young_memcpy_ms=0.750,after_old_memcpy_ms=0.757,after_nt_ms=0.752,checksum=864026624
