size,young_memcpy_GBps,young_to_old_memcpy_GBps,nt128_GBps,nt256_GBps,nt128_sfence_each_GBps,young_memcpy_ns,young_to_old_memcpy_ns,nt128_ns,nt256_ns,nt128_sfence_each_ns,checksum
   16,   16.705,   12.753,    0.078,    9.350,    0.078,     0.89,     1.17,   191.72,     1.59,   191.90,14688452608
   32,   30.418,   15.887,    0.155,    0.151,    0.154,     0.98,     1.88,   192.82,   197.23,   193.66,7344226304
   64,   49.265,   18.887,    0.312,    0.313,    0.315,     1.21,     3.16,   191.25,   190.27,   189.16,3672113152
   96,   31.894,   13.914,    0.482,    0.484,    0.500,     2.80,     6.43,   185.63,   184.72,   178.90,2448074783
  128,   41.809,   16.897,    0.646,    0.647,    0.624,     2.85,     7.05,   184.46,   184.29,   191.19,1836056576
  192,   32.027,   17.151,    0.972,    0.972,    0.949,     5.58,    10.43,   184.02,   183.97,   188.34,2376072434
  256,   55.484,   20.010,    1.298,    1.301,    1.264,     4.30,    11.92,   183.72,   183.33,   188.64,1782054912
  512,   59.508,   20.745,    2.593,    2.598,    2.535,     8.01,    22.99,   183.92,   183.52,   188.13,891027456
 1024,   67.745,   21.187,    5.149,    5.157,    5.128,    14.08,    45.01,   185.22,   184.94,   185.97,445513728
 2048,   72.764,   20.582,   10.200,   10.230,   10.068,    26.21,    92.67,   187.00,   186.44,   189.45,222756864
 4096,   79.016,   14.890,   19.410,   20.411,   19.220,    48.28,   256.19,   196.53,   186.89,   198.48,111378432
 8192,   83.507,   16.350,   34.375,   35.494,   34.133,    91.36,   466.64,   221.95,   214.95,   223.52,55689216
16384,   86.493,   17.654,   49.006,   53.934,   47.113,   176.42,   864.30,   311.37,   282.92,   323.88,27844608
pollution,64,base_ms=0.759,after_young_memcpy_ms=0.751,after_old_memcpy_ms=0.751,after_nt_ms=0.751,checksum=864026624
pollution,256,base_ms=0.751,after_young_memcpy_ms=0.751,after_old_memcpy_ms=0.750,after_nt_ms=0.751,checksum=864026624
pollution,4096,base_ms=0.751,after_young_memcpy_ms=0.752,after_old_memcpy_ms=0.755,after_nt_ms=0.751,checksum=864026624
